,ID,Ingredients
1306,106,single cream
1307,106,parmesan
1308,106,salt
1309,106,pepper
1310,106,olive oil
1311,107,cinnamon
1312,107,star anise
1313,107,wine
1314,107,orange
1315,107,sugar
1316,108,butter
1317,108,onion
1318,108,brussels sprouts
1319,108,purple sprouting broccoli
1320,108,single cream
1321,108,cheddar
1322,108,gruyere
1323,108,gouda
1324,108,wholegrain mustard
1325,108,panko breadcrumbs
1326,109,brussels sprouts
1327,109,parmesan
1328,109,parsley
1329,109,lemon
1330,109,orange
1331,109,salt
1332,109,olive oil
1333,110,brussels sprouts
1334,110,chillies
1335,110,shallot
1336,110,ginger
1337,110,garlic
1338,110,lemongrass
1339,110,tomato puree
1340,110,tomato
1341,110,sugar
1342,110,fish sauce
1343,110,peanuts
1344,110,salt
1345,110,vegetable oil
1346,111,duck drumsticks
1347,111,duck fat
1348,111,pancetta
1349,111,onion
1350,111,garlic
1351,111,sage
1352,111,cannellini beans
1353,111,wholegrain mustard
1354,111,chicken stock
1355,111,salt
1356,111,pepper
1357,111,olive oil
1358,112,bread
1359,112,garlic
1360,112,cranberry sauce
1361,112,brie
1362,112,stilton
1363,112,comte
1364,112,mozzarella
1365,112,rosemary
1366,112,salt
1367,112,olive oil
1368,113,miso
1369,113,honey
1370,113,double cream
1371,113,caster sugar
1372,113,sugar
1373,113,butter
1374,113,sea salt
1375,114,sausages
1376,114,brie
1377,114,butter
1378,114,phyllo pastry
1379,114,cranberry sauce
1380,115,honey
1381,115,harissa paste
1382,115,camembert
1383,115,pita bread
1384,115,parsley
1385,115,salt
1386,115,olive oil
1387,116,butter
1388,116,dark chocolate
1389,116,instant espresso powder
1390,116,coffee liqueur
1391,116,egg yolks
1392,116,golden caster sugar
1393,116,flour
1394,116,cocoa powder
1395,116,powder
1396,116,vanilla extract
1397,116,mascarpone
1398,116,coffee beans
1399,116,salt
1400,117,gyoza
1401,117,vegetable stock
1402,117,soy sauce
1403,117,balsamic vinegar
1404,117,chilli oil
1405,117,eggs
1406,117,spring onion
1407,117,sesame seeds
1408,118,chorizo
1409,118,onion
1410,118,peppers
1411,118,rosemary
1412,118,garlic
1413,118,chilli
1414,118,paprika
1415,118,lentils
1416,118,chicken stock
1417,119,potato
1418,119,flour
1419,119,goose fat
1420,119,sea salt
1421,120,onion
1422,120,parsley
1423,120,lamb mince
1424,120,feta
1425,120,harissa paste
1426,120,cinnamon
1427,120,eggs
1428,120,puff pastry
1429,120,sesame seeds
1430,120,salt
1431,120,pepper
1432,121,vanilla extract
1433,121,powder
1434,121,bicarbonate of soda
1435,121,chocolate
1436,121,butter
1437,121,brown dark sugar
1438,121,eggs
1439,121,flour
1440,121,ginger
1441,121,cinnamon
1442,121,salt
1443,122,potato
1444,122,taleggio
1445,122,cranberry sauce
1446,122,salt
1447,122,olive oil
1448,122,chives
1449,122,sage
1450,122,capers
1451,122,garlic
1452,122,lemon
1453,122,dijon mustard
1454,122,virgin olive oil
1455,122,salt
1456,122,pepper
1457,123,pretzels
1458,123,butter
1459,123,double cream
1460,123,sugar
1461,123,peanut butter
1462,123,salt
1463,123,double cream
1464,123,dark chocolate
1465,123,vanilla extract
1466,123,cinnamon
1467,123,nutmeg
1468,123,caster sugar
1469,123,peanuts
1470,123,golden syrup
1471,123,bicarbonate of soda
1472,124,garlic
1473,124,potato
1474,124,double cream
1475,124,milk
1476,124,gruyere
1477,124,nutmeg
1478,125,onion
1479,125,garlic
1480,125,mushrooms
1481,125,thyme
1482,125,tarragon
1483,125,flour
1484,125,miso paste
1485,125,comte
1486,125,creme fraiche
1487,125,puff pastry
1488,125,eggs
1489,125,salt
1490,125,pepper
1491,126,medjool dates
1492,126,bicarbonate of soda
1493,126,dark chocolate
1494,126,flour
1495,126,cocoa powder
1496,126,powder
1497,126,eggs
1498,126,vegetable oil
1499,126,vanilla bean paste
1500,126,sugar
1501,126,milk
1502,126,butter
1503,126,sugar
1504,126,double cream
1505,127,onion
1506,127,carrot
1507,127,celery
1508,127,garlic
1509,127,pork sausages
1510,127,chorizo
1511,127,tomato puree
1512,127,wine
1513,127,tomato
1514,127,parsley
1515,127,rigatoni
1516,127,parmesan
1517,127,salt
1518,127,pepper
1519,127,olive oil
1520,128,garlic
1521,128,spring onion
1522,128,vegetable oil
1523,128,soy sauce
1524,128,chilli
